Id,TypeDis,Level,Profile,NarrativeDis,NarrativeGen
1350903485034766336,Misleading Content,Source,Influencer,Public Authority Action/Policy,Criticism of the government
1351164586066645000,Satire or Parody,Source,Influencer,Public Authority Action/Policy,Criticism of the government
1350942944258355201,Misleading Content,Source,Journalist,Public Authority Action/Policy,Criticism of the government
1350908555629617155,Satire or Parody,Source,Journalist,Vaccine Development and Availability,Criticism of the government
1351149271614107651,Misleading Content,Source,Political Authority,Public Authority Action/Policy,Criticism of the government
1351904869515460609,Satire or Parody,Source,Political Authority,Public Authority Action/Policy,Criticism of the government
1350884197695709187,Satire or Parody,Content,Regular User,Public Authority Action/Policy,Criticism of the government
1351530879810736128,Misleading Content,Source,Regular User,Public Authority Action/Policy,Criticism of the government
1350054223468179456,Satire or Parody,Source,Regular User,Proeminent Actors,Criticism of the government
1350886320730746880,Misleading Content,Source,Tweeter,Public Authority Action/Policy,Criticism of the government
1350964844015579137,Misleading Content,Source,Tweeter,Public Authority Action/Policy,Criticism of the government
1350959468989870089,Misleading Content,Source,Tweeter,Public Authority Action/Policy,Criticism of the government
1352361712788226048,Manipulated Content,Source,Alternative Media,Vaccine Development and Availability,Defense to the government 
1352364473219239940,Manipulated Content,Consumer,Influencer,Conspiracy,Defense to the government 
1350952552939073543,Manipulated Content,Consumer,Influencer,Conspiracy,Defense to the government 
1352664111939784707,False connection,Content,Journalist,Public Authority Action/Policy,Defense to the government 
1350995109765111813,Manipulated Content,Source,Journalist,Public Authority Action/Policy,Defense to the government 
1352276932017184768,Manipulated Content,Source,Journalist,Public Authority Action/Policy,Defense to the government 
1350991395658604544,Misleading Content,Source,Journalist,Vaccine Development and Availability,Defense to the government 
1352716825562378244,Misleading Content,Source,Journalist,Proeminent Actors,Defense to the government 
1350927631886200832,Manipulated Content,Content,Political Authority,Vaccine Development and Availability,Defense to the government 
1350821818500788224,Manipulated Content,Source,Political Authority,Public Authority Action/Policy,Defense to the government 
1350917707068297218,Manipulated Content,Source,Political Authority,Conspiracy,Defense to the government 
1352341119338766337,Manipulated Content,Source,Political Authority,Vaccine Development and Availability,Defense to the government 
1351294595120979968,Manipulated Content,Consumer,Regular User,General Medical Advice ,Defense to the government 
1351328647404285954,Misleading Content,Consumer,Regular User,General Medical Advice ,Defense to the government 
1350960333427515396,Misleading Content,Source,Tweeter,Vaccine Development and Availability,Defense to the government 
1351132653844574209,Satire or Parody,Source,Alternative Media,Vaccine Development and Availability,Others
1351172651297988608,Satire or Parody,Content,Other,Public Authority Action/Policy,Others
1352648338949230592,Misleading Content,Source,Regular User,General Medical Advice ,Others
1350961220816408576,Satire or Parody,Source,Regular User,Public Authority Action/Policy,Others
1352067812303511552,Misleading Content,Source,Tweeter,Conspiracy,Others
1351208996263309313,Satire or Parody,Source,Tweeter,Public Authority Action/Policy,Others
1352057733944631297,False connection,Content,Influencer,Conspiracy,Pro-Science and Public Health/Regulations
1351010446300606464,Misleading Content,Source,Journalist,Public Authority Action/Policy,Pro-Science and Public Health/Regulations
1351954447342170117,Misleading Content,Source,Tweeter,Conspiracy,Pro-Science and Public Health/Regulations
1350902691728338945,Misleading Content,Source,Tweeter,Public Authority Action/Policy,Pro-Science and Public Health/Regulations
1350875211156119552,Misleading Content,Source,Tweeter,Public Authority Action/Policy,Pro-Science and Public Health/Regulations
