Id,Classification,Profile,NarrativeGen
1344522848526888960,Information,Alternative Media,Criticism of the government
1346370744335425536,Information,Alternative Media,Criticism of the government
1344943501168046080,Information,Alternative Media,Other
1346457423297478657,Information,Alternative Media,Pro-Science and Public Health/Regulations
1345383232687239169,Information,Influencer,Criticism of the government
1344383107013730307,Opinion,Influencer,Criticism of the government
1346407889418776577,Opinion,Influencer,Criticism of the government
1345749570031120384,Humour,Influencer,Other
1346393287113011201,Information,Influencer,Other
1344217965382823936,Information,Influencer,Other
1344252576733265921,Information,Influencer,Pro-Science and Public Health/Regulations
1345764058386096133,Disinformation,Journalist,Criticism of the government
1345105325259706369,Disinformation,Journalist,Criticism of the government
1345863772351688710,Humour,Journalist,Criticism of the government
1345047973726720007,Humour,Journalist,Criticism of the government
1345698673343098881,Information,Journalist,Criticism of the government
1345811006023467011,Information,Journalist,Criticism of the government
1345084563995971584,Information,Journalist,Criticism of the government
1344236992880668672,Information,Journalist,Criticism of the government
1346328299899924480,Information,Journalist,Criticism of the government
1346487426047422465,Information,Journalist,Criticism of the government
1344955632995151872,Information,Journalist,Criticism of the government
1344315495072346113,Information,Journalist,Criticism of the government
1345785180213153792,Information,Journalist,Criticism of the government
1345053040374640651,Disinformation,Journalist,Criticism of the government
1345396339593654272,Disinformation,Journalist,Criticism of the government
1344247398030307328,Opinion,Journalist,Criticism of the government
1344747348342267904,Opinion,Journalist,Criticism of the government
1346440593090732032,Disinformation,Journalist,Other
1345407884100857857,Humour,Journalist,Other
1344268442946441219,Humour,Journalist,Other
1346391977038852096,Information,Journalist,Other
1345645707173253131,Information,Journalist,Other
1345616710636810240,Information,Journalist,Other
1345082464763584512,Information,Journalist,Other
1346367444655472641,Opinion,Journalist,Other
1344223173357801472,Opinion,Journalist,Other
1344414634443419649,Information,Journalist,Pro-Science and Public Health/Regulations
1345136803934826496,Information,Journalist,Pro-Science and Public Health/Regulations
1346387622831280128,Disinformation,Political,Criticism of the government
1346399784278622209,Disinformation,Political,Criticism of the government
1346373867787472898,Disinformation,Political,Criticism of the government
1346505647756603397,Information,Political,Criticism of the government
1346414893021286401,Disinformation,Political,Criticism of the government
1345718128685305857,Disinformation,Political,Criticism of the government
1344254233739145218,Opinion,Political,Criticism of the government
1346358397826949120,Information,Political Authority,Criticism of the government
1345296280919154688,Information,Political Authority,Criticism of the government
1345697453287366656,Information,Political Authority,Criticism of the government
1344571090455162880,Information,Political Authority,Criticism of the government
1345406480875479041,Disinformation,Political Authority,Criticism of the government
1346405555347316736,Disinformation,Political Authority,Criticism of the government
1344204650086604800,Opinion,Political Authority,Criticism of the government
1344241496736866304,Opinion,Political Authority,Criticism of the government
1344262300601962496,Opinion,Political Authority,Criticism of the government
1344934218145669120,Opinion,Political Authority,Criticism of the government
1344289902440161282,Opinion,Political Authority,Criticism of the government
